"Kinase"	"Kinome_H2228_1"	"Kinome_H2228_2"	"Kinome_HCC827ER3_1"	"Kinome_HCC827ER3_2"	"Kinome_K562_1"	"Kinome_K562_2"	"Kinome_SKMel28_1"	"Kinome_SKMel28_2"
"IGF1R"	3	1	0	0	0	0	4	4
"INSR"	3	1	0	0	0	0	4	4
"JAK1"	0	0	7	9	0	0	0	0
"JAK2"	2	3	3	2	4	5	4	2
"LATS1"	0	0	1	1	0	0	0	0
"LATS2"	0	0	0	3	0	0	0	0
"LCK"	6	6	2	2	5	5	5	5
"LIMK1"	0	0	1	1	0	0	0	0
"LMTK2"	0	0	2	2	0	0	0	0
"LYN"	15	17	9	10	19	19	2	1
"MAP3K4"	0	0	0	1	0	0	0	0
"MAP4K3"	0	0	3	3	4	3	0	0
"MAP4K4"	0	0	0	1	0	2	0	0
"MAP4K5"	2	2	1	1	3	4	0	0
"MAPK1"	10	10	4	5	37	31	43	42
"MAPK10"	1	0	3	5	1	1	1	1
"MAPK11"	0	0	0	0	0	0	1	0
"MAPK12"	0	0	4	4	0	0	2	2
"MAPK13"	2	2	1	1	0	0	0	0
"MAPK14"	23	17	5	4	26	21	9	8
"MAPK3"	12	10	3	5	17	17	20	16
"MAPK7"	1	1	2	2	0	1	1	1
"MAPK8"	1	0	3	5	1	1	1	1
"MAPK9"	2	2	2	3	0	1	5	1
"MAPKAPK3"	0	0	2	4	0	1	0	0
"MARK2"	0	0	1	1	0	0	0	0
"MARK3"	0	0	1	2	0	0	0	0
"MELK"	0	0	7	5	0	0	0	0
"MERTK"	0	1	7	8	0	0	0	0
"MET"	3	3	211	218	0	0	0	0
"MINK1"	0	0	20	19	3	4	0	0
"MST1R"	0	0	7	9	0	0	0	0
"MYLK"	0	0	2	2	0	0	0	0
"MYLK3"	0	0	0	0	1	0	0	0
"NEK1"	0	0	2	1	0	0	0	0
"NEK7"	0	0	0	1	0	0	0	0
"NRK"	0	0	50	66	0	0	0	0
"PAK2"	0	0	2	2	0	0	0	0
"PAK4"	0	0	1	1	0	0	0	0
"PAK6"	0	0	4	3	0	0	0	0
"PBK"	0	0	4	4	0	0	0	0
"PDPK1"	0	0	0	1	0	0	0	0
"PEAK1"	10	5	37	35	21	15	7	5
"PKN1"	0	0	0	1	0	0	0	0
"PKN2"	0	0	1	3	0	0	0	0
"PRKAA1"	1	0	1	0	0	0	0	0
"PRKACB"	0	0	1	2	0	0	0	0
"PRKCA"	1	2	2	1	0	0	0	0
"PRKCB"	0	0	0	0	1	1	0	0
"PRKCD"	1	1	9	10	7	6	0	0
"PRKCG"	1	2	1	1	0	0	0	0
"PRKCI"	0	0	1	1	0	0	0	0
"PRKD2"	0	1	0	1	0	0	0	0
"PRKD3"	0	0	0	1	0	0	0	0
"PRKDC"	0	0	0	0	2	3	0	0
"PRPF4B"	18	56	5	6	60	56	53	51
"PTK2"	43	34	28	40	4	5	24	18
"PTK2B"	0	0	1	0	0	0	0	0
"RAF1"	0	0	1	1	0	0	0	0
"RIPK1"	1	1	4	3	2	2	0	0
"RIPK2"	3	2	3	4	1	2	2	2
"ROCK2"	0	0	4	4	0	1	0	0
"ROR1"	0	0	19	20	0	0	0	0
"RPS6KA1"	0	0	1	1	0	0	0	0
"RPS6KA3"	0	0	1	1	0	0	0	0
"SLK"	0	0	1	1	0	0	0	0
"SRC"	6	6	3	2	7	7	6	5
"SYK"	1	1	0	0	2	2	5	5
"TAOK1"	0	0	0	0	0	0	1	0
"TAOK3"	0	0	1	1	0	0	0	0
"TBK1"	0	0	1	2	0	0	0	0
"TEC"	0	0	0	0	1	2	0	0
"TGFBR2"	1	0	3	2	0	0	0	0
"TNIK"	0	0	1	1	0	1	0	0
"TNK2"	11	10	16	22	14	13	11	6
"TRIM28"	0	0	0	1	0	2	0	0
"TRPM7"	0	0	0	1	0	0	0	0
"TTK"	0	0	3	3	0	1	0	0
"TYK2"	3	3	1	2	1	1	3	3
"TYRO3"	0	0	5	4	1	1	0	0
"YES1"	8	9	10	7	11	13	8	7
